annotator	line_number	vclaim_id	vclaim_date	vclaim_url	label	sentence	vclaim	stance	verdict	
ai	16	3240	on Monday, June 5th, 2017	http://politifact.com/truth-o-meter/statements/2017/jun/05/scott-pruitt/are-coal-mining-jobs-50000-last-year-not-exactly/	Mostly False	As President, we are putting our coal miners back to work.	Since the fourth quarter of last year until most recently, we've added almost 50,000 jobs in the coal sector. In the month of May alone, almost 7,000 jobs.	repeated	repeated	
ai	17	8848	on Monday, September 23rd, 2013	http://politifact.com/truth-o-meter/statements/2013/sep/23/mitch-mcconnell/mcconnell-links-obama-war-coal/	Mostly False	We've ended the war on beautiful, clean coal.	The presidents own advisers have said theres a war on coal.	discuss	unknown	
ai	17	1302	on Monday, November 5th, 2018	http://politifact.com/west-virginia/statements/2018/nov/05/patrick-morrisey/did-joe-manchin-support-obama-and-clinton-efforts-/	FALSE	We've ended the war on beautiful, clean coal.	Says Joe Manchin "supported Obama and Clinton's campaigns to kill coal jobs."	discuss	unknown	
ai	17	10570	on Friday, August 17th, 2012	http://politifact.com/ohio/statements/2012/aug/17/mitt-romney/mitt-romney-says-joe-biden-once-claimed-coal-was-m/	Mostly False	We've ended the war on beautiful, clean coal.	Claims Joe Biden said "coal is more dangerous than terrorists."	unrelated	unknown	
ai	17	13424	on Monday, March 14th, 2011	http://politifact.com/ohio/statements/2011/mar/14/ohio-coal-association/ohio-coal-industry-says-obama-promised-bankrupt-co/	Mostly True	We've ended the war on beautiful, clean coal.	Says that President Obama said in 2008 that his proposed greenhouse gas regulations "will bankrupt" anyone who wants to build a new coalfired power plant.	discuss	unknown	
ai	17	7177	on Wednesday, October 8th, 2014	http://politifact.com/truth-o-meter/statements/2014/oct/08/alison-lundergan-grimes/alison-lundergan-grimes-says-mitch-mcconnell-not-s/	FALSE	We've ended the war on beautiful, clean coal.	The only candidate pocketing big money from people who want to destroy coal is Mitch McConnell.	unrelated	unknown	
ai	17	15941	on Wednesday, October 1st, 2008	http://politifact.com/truth-o-meter/statements/2008/oct/01/john-mccain/a-clean-hit-not-quite/	FALSE	We've ended the war on beautiful, clean coal.	Obama, Biden and their liberal allies oppose clean coal.	discuss	unknown	
ai	17	5262	on Wednesday, March 16th, 2016	http://politifact.com/missouri/statements/2016/mar/17/roy-blunt/sen-blunt-overstates-white-house-policys-impact-co/	Mostly False	We've ended the war on beautiful, clean coal.	The [Obama] administrations regulatory assault on coalfired energy has put thousands of Americans out of work	discuss	unknown	
ai	17	3244	on Friday, June 2nd, 2017	http://politifact.com/california/statements/2017/jun/02/kevin-de-leon/does-california-have-10-times-many-clean-energy-jo/	Mostly True	We've ended the war on beautiful, clean coal.	Clean energy employs "more than half a million Californians. Thats nearly ten times more the number of coal mining jobs that exist in the entire nation."	unrelated	unknown	
ai	17	1587	on Thursday, September 20th, 2018	http://politifact.com/west-virginia/statements/2018/sep/20/patrick-morrisey/did-patrick-morrisey-beat-obama-supreme-court-savi/	Mostly True	We've ended the war on beautiful, clean coal.	Says he "beat (President Barack) Obama at the Supreme Court, saving coal jobs."	agree	TRUE	
ai	18	3461	on Thursday, April 6th, 2017	http://politifact.com/truth-o-meter/statements/2017/apr/06/rick-santorum/rick-santorum-garbles-climate-change-comments-obam/	FALSE	We've stopped the EPA intrusion.	The EPA director under Obama said the Clean Power Initiative would have no effect on manmade CO2 emissions. That's what she said. Go look it up.	discuss	unknown	
ai	18	3240	on Monday, June 5th, 2017	http://politifact.com/truth-o-meter/statements/2017/jun/05/scott-pruitt/are-coal-mining-jobs-50000-last-year-not-exactly/	Mostly False	We've stopped the EPA intrusion.	Since the fourth quarter of last year until most recently, we've added almost 50,000 jobs in the coal sector. In the month of May alone, almost 7,000 jobs.	unrelated	unknown	
ai	18	8038	on Friday, April 4th, 2014	http://politifact.com/truth-o-meter/statements/2014/apr/04/charles-koch/epa-koch-brothers-business-environment/	Mostly False	We've stopped the EPA intrusion.	EPA officials have commended (Koch Industries) for our commitment to a cleaner environment and called us a model for other companies.	unrelated	unknown	
ni	19	2465	on Wednesday, January 31st, 2018	http://politifact.com/truth-o-meter/statements/2018/jan/31/donald-trump/trump-exaggerates-energy-exports/	Mostly False	American coal exports are already up.	We are now, very proudly, an exporter of energy to the world.	discuss	unknown	
ni	19	2974	on Wednesday, August 23rd, 2017	http://politifact.com/truth-o-meter/statements/2017/aug/23/donald-trump/donald-trump-wrongly-says-us-net-energy-exporte/	FALSE	American coal exports are already up.	We have become an energy exporter for the first time ever just recently.	discuss	unknown	
ai	19	13032	on Friday, May 27th, 2011	http://politifact.com/georgia/statements/2011/may/27/eric-cantor/us-king-coal-cantor-says/	Mostly True	American coal exports are already up.	Says the United States is "the Saudi Arabia of coal."	agree	TRUE	date
ai	19	9220	on Friday, June 14th, 2013	http://politifact.com/virginia/statements/2013/jun/14/terry-mcauliffe/mcauliffe-flip-flops-coal/	Full Flop	American coal exports are already up.	On the coal industry	unrelated	unknown	
ai	19	5621	on Tuesday, December 15th, 2015	http://politifact.com/truth-o-meter/statements/2015/dec/16/donald-trump/donald-trump-exaggerates-how-much-coal-us-has-been/	Mostly False	American coal exports are already up.	We're practically not allowed to use coal any more. What do we do with our coal? We ship it to China and they spew it in the air.	unrelated	unknown	
ai	19	2465	on Wednesday, January 31st, 2018	http://politifact.com/truth-o-meter/statements/2018/jan/31/donald-trump/trump-exaggerates-energy-exports/	Mostly False	American coal exports are already up.	We are now, very proudly, an exporter of energy to the world.	repeated	repeated	
ai	19	2974	on Wednesday, August 23rd, 2017	http://politifact.com/truth-o-meter/statements/2017/aug/23/donald-trump/donald-trump-wrongly-says-us-net-energy-exporte/	FALSE	American coal exports are already up.	We have become an energy exporter for the first time ever just recently.	repeated	repeated	
ai	19	10051	on Wednesday, October 31st, 2012	http://politifact.com/ohio/statements/2012/oct/31/sherrod-brown/sherrod-brown-says-coal-jobs-and-coal-production-b/	TRUE	American coal exports are already up.	There is no war on coal. Period. There are more coal jobs and more coal produced in Ohio than there were five years ago, in spite of the talking points and the yard signs.	unrelated	unknown	date
ai	19	4984	on Tuesday, May 10th, 2016	http://politifact.com/truth-o-meter/statements/2016/may/10/hillary-clinton/hillary-clinton-says-market-forces-made-coal-compa/	Mostly True	American coal exports are already up.	The market is making this decision. The market has driven down the cost of coal, so you have companies going bankrupt.	discuss	unknown	
ai	19	4151	on Tuesday, October 11th, 2016	http://politifact.com/truth-o-meter/statements/2016/oct/11/hillary-clinton/clinton-claim-us-energy-independent-goes-too-far/	FALSE	American coal exports are already up.	We are now, for the first time ever, energy independent.	discuss	unknown	
ai	19	6157	on Friday, July 24th, 2015	http://politifact.com/texas/statements/2015/jul/24/robert-henneke/robert-henneke-says-obamas-clean-power-plan-elimin/	Mostly False	American coal exports are already up.	Obamas Clean Power Plan ... eliminates coalfired power plants.	unrelated	unknown	
ai	19	7475	on Thursday, August 7th, 2014	http://politifact.com/truth-o-meter/statements/2014/aug/07/shelley-moore-capito/west-virginia-senate-candidate-says-barack-obama-b/	Mostly False	American coal exports are already up.	The president's come out with rules that say, 'No new coalfired power plants.'	unrelated	unknown	
ni	22	2974	on Wednesday, August 23rd, 2017	http://politifact.com/truth-o-meter/statements/2017/aug/23/donald-trump/donald-trump-wrongly-says-us-net-energy-exporte/	FALSE	American exports of coal are already up more than 60% this year.	We have become an energy exporter for the first time ever just recently.	discuss	unknown	
ni	22	2465	on Wednesday, January 31st, 2018	http://politifact.com/truth-o-meter/statements/2018/jan/31/donald-trump/trump-exaggerates-energy-exports/	Mostly False	American exports of coal are already up more than 60% this year.	We are now, very proudly, an exporter of energy to the world.	discuss	unknown	
ai	22	13032	on Friday, May 27th, 2011	http://politifact.com/georgia/statements/2011/may/27/eric-cantor/us-king-coal-cantor-says/	Mostly True	American exports of coal are already up more than 60% this year.	Says the United States is "the Saudi Arabia of coal."	discuss	unknown	
ai	22	9220	on Friday, June 14th, 2013	http://politifact.com/virginia/statements/2013/jun/14/terry-mcauliffe/mcauliffe-flip-flops-coal/	Full Flop	American exports of coal are already up more than 60% this year.	On the coal industry	unrelated	unknown	
ai	22	5621	on Tuesday, December 15th, 2015	http://politifact.com/truth-o-meter/statements/2015/dec/16/donald-trump/donald-trump-exaggerates-how-much-coal-us-has-been/	Mostly False	American exports of coal are already up more than 60% this year.	We're practically not allowed to use coal any more. What do we do with our coal? We ship it to China and they spew it in the air.	unrelated	unknown	
ai	22	2974	on Wednesday, August 23rd, 2017	http://politifact.com/truth-o-meter/statements/2017/aug/23/donald-trump/donald-trump-wrongly-says-us-net-energy-exporte/	FALSE	American exports of coal are already up more than 60% this year.	We have become an energy exporter for the first time ever just recently.	repeated	repeated	
ai	22	2465	on Wednesday, January 31st, 2018	http://politifact.com/truth-o-meter/statements/2018/jan/31/donald-trump/trump-exaggerates-energy-exports/	Mostly False	American exports of coal are already up more than 60% this year.	We are now, very proudly, an exporter of energy to the world.	repeated	repeated	
ai	22	10051	on Wednesday, October 31st, 2012	http://politifact.com/ohio/statements/2012/oct/31/sherrod-brown/sherrod-brown-says-coal-jobs-and-coal-production-b/	TRUE	American exports of coal are already up more than 60% this year.	There is no war on coal. Period. There are more coal jobs and more coal produced in Ohio than there were five years ago, in spite of the talking points and the yard signs.	discuss	unknown	
ai	35	5001	on Thursday, May 5th, 2016	http://politifact.com/truth-o-meter/statements/2016/may/05/hillary-clinton/clinton-video-lists-8-promises-trump-presidency/	Mostly True	Day after day, we are keeping the promises that we made during the campaign.	Says Donald Trump promised to repeal Obamacare, build a wall, ban Muslims, and more.	discuss	unknown	
ai	36	4893	on Tuesday, May 31st, 2016	http://politifact.com/truth-o-meter/statements/2016/may/31/donald-trump/donald-trump-says-he-wanted-keep-veterans-fundrais/	Pants on Fire!	That includes our promises to our great veterans.	I wanted to keep it private, because I don't think it's anybody's business if I want to send money to the vets.	unrelated	unknown	
ai	38	5760	on Monday, November 9th, 2015	http://politifact.com/virginia/statements/2015/nov/09/donald-trump/trump-says-300000-veterans-dies-waiting-va-care/	Mostly False	Today we announce new telehealth services to help the veterans get the care when and where they need it.	On the VA "Over 300,000 veterans have died waiting for care."	discuss	unknown	
ai	38	7814	on Wednesday, May 28th, 2014	http://politifact.com/florida/statements/2014/may/28/charlie-crist/charlie-crist-says-veterans-lack-health-care-due-r/	Half-True	Today we announce new telehealth services to help the veterans get the care when and where they need it.	41,200 veterans in Florida "dont have health care because Scott didnt expand Medicaid."	discuss	unknown	
ai	38	11755	on Friday, January 20th, 2012	http://politifact.com/truth-o-meter/statements/2012/jan/20/rick-santorum/rick-santorum-says-obama-wants-cut-veterans-benefi/	Half-True	Today we announce new telehealth services to help the veterans get the care when and where they need it.	President Obama has "said he is going to cut veterans' benefits."	unrelated	unknown	
ai	38	6170	on Tuesday, July 21st, 2015	http://politifact.com/truth-o-meter/statements/2015/jul/21/donald-trump/after-not-war-hero-remark-donald-trump-says-john-m/	FALSE	Today we announce new telehealth services to help the veterans get the care when and where they need it.	Says John McCain "has done nothing to help the vets."	unrelated	unknown	
ai	38	8756	on Wednesday, October 16th, 2013	http://politifact.com/truth-o-meter/statements/2013/oct/16/republican-national-committee-republican/rnc-says-wasserman-schultz-voted-cut-veterans-bene/	FALSE	Today we announce new telehealth services to help the veterans get the care when and where they need it.	Says U.S. Rep. Debbie Wasserman Schultz "voted to cut off Floridas veterans and their benefits."	unrelated	unknown	
ai	38	4891	on Wednesday, June 1st, 2016	http://politifact.com/truth-o-meter/statements/2016/jun/01/donald-trump/donald-trump-thousands-veterans-die-waiting-treatm/	Half-True	Today we announce new telehealth services to help the veterans get the care when and where they need it.	We're losing thousands of (veterans) waiting on line because they can't get speedy health care from the Veterans Administration.	discuss	unknown	
ni	59	3661	on Thursday, February 16th, 2017	http://politifact.com/truth-o-meter/statements/2017/feb/16/donald-trump/trump-hints-stock-market-record-high-linked-presid/	Mostly True	The stock market reached yet another all time in history.	The stock market has hit record numbers, as you know. And there has been a tremendous surge of optimism in the business world.	agree	TRUE	
ai	59	497	on Tuesday, June 25th, 2019	http://politifact.com/punditfact/statements/2019/jun/25/charles-payne/fox-business-host-wrongly-claimed-market-crashed-i/	Mostly False	The stock market reached yet another all time in history.	When President Obama was elected, the market crashed  Trump was up 9%, President Obama was down 14.8% and President Bush was down almost 4%. There is an instant reaction on Wall Street.	discuss	unknown	
ai	59	2806	on Thursday, October 12th, 2017	http://politifact.com/truth-o-meter/statements/2017/oct/12/donald-trump/donald-trumps-misleading-linkage-between-stock-gai/	FALSE	The stock market reached yet another all time in history.	The Obama administration "borrowed more than $10 trillion, right? And yet, we picked up $5.2 trillion just in the stock market. ... Maybe in a sense were reducing debt."	discuss	unknown	
ai	59	6112	on Tuesday, August 4th, 2015	http://politifact.com/truth-o-meter/statements/2015/aug/04/hillary-clinton/hillary-clinton-says-stock-market-has-done-better-/	Mostly True	The stock market reached yet another all time in history.	The stock market does better when you have a Democratic president in the White House.	discuss	unknown	
ai	59	3661	on Thursday, February 16th, 2017	http://politifact.com/truth-o-meter/statements/2017/feb/16/donald-trump/trump-hints-stock-market-record-high-linked-presid/	Mostly True	The stock market reached yet another all time in history.	The stock market has hit record numbers, as you know. And there has been a tremendous surge of optimism in the business world.	repeated	repeated	
ai	61	6540	on Thursday, April 9th, 2015	http://politifact.com/texas/statements/2015/apr/09/bernie-sanders/bernie-sanders-says-half-americans-have-less-10000/	Mostly True	Boosting at the retirement savings, hope any, of everybody in the room.	Half of all Americans have less than $10,000 in their savings account.	discuss	unknown	
ai	61	3850	on Wednesday, December 21st, 2016	http://politifact.com/wisconsin/statements/2016/dec/21/bernie-sanders/approaching-retirement-half-workers-55-64-have-zer/	Half-True	Boosting at the retirement savings, hope any, of everybody in the room.	Fifty percent of workers ages 55 to 64 have "zero" money "in the bank as they enter retirement."	disagree	unknown	
ai	61	12689	on Sunday, July 24th, 2011	http://politifact.com/rhode-island/statements/2011/jul/24/gina-raimondo/ri-treasurer-raimondo-says-60-year-olds-401ks-typi/	Mostly True	Boosting at the retirement savings, hope any, of everybody in the room.	The average 401(k) in America of a person who's 60 years old is under $100,000.	discuss	unknown	date
ai	61	16140	on Wednesday, July 9th, 2008	http://politifact.com/truth-o-meter/statements/2008/jul/09/john-mccain/mccains-argument-tangential-at-best/	FALSE	Boosting at the retirement savings, hope any, of everybody in the room.	If you have an investment for your child's education or own a mutual fund or a stock in a retirement plan, (Obama) is going to raise your taxes.	unrelated	unknown	
ai	61	4477	on Monday, August 15th, 2016	http://politifact.com/nevada/statements/2016/aug/15/afscme/union-backed-ad-repeats-inaccurate-claim-joe-heck-/	Mostly False	Boosting at the retirement savings, hope any, of everybody in the room.	In Washington, Congressman Joe Heck supports privatizing (Social Security), turning our savings over to Wall Street and risking it on the stock market.	discuss	unknown	
ni	64	3071	on Tuesday, July 25th, 2017	http://politifact.com/truth-o-meter/statements/2017/jul/25/donald-trump/donald-trump-right-us-just-had-best-jobs-report-16/	Mostly True	Unemployment is at a 16year low don't forget.	We had the best jobs report in 16 years.	agree	TRUE	
ni	64	2141	on Thursday, April 26th, 2018	http://politifact.com/truth-o-meter/statements/2018/apr/26/donald-trump/donald-trump-target-remarks-unemployment-kanye/	Mostly True	Unemployment is at a 16year low don't forget.	Kanye (West) looks and he sees black unemployment at the lowest its been in the history of our country. He sees Hispanic unemployment at the lowest its been in the history of our country. He sees (womens unemployment) the lowest its been in now almost 19 years.	agree	TRUE	
ai	64	3071	on Tuesday, July 25th, 2017	http://politifact.com/truth-o-meter/statements/2017/jul/25/donald-trump/donald-trump-right-us-just-had-best-jobs-report-16/	Mostly True	Unemployment is at a 16year low don't forget.	We had the best jobs report in 16 years.	repeated	repeated	
ai	69	3409	on Wednesday, April 19th, 2017	http://politifact.com/wisconsin/statements/2017/apr/19/donald-trump/manufacturing-heavy-wisconsin-donald-trump-links-c/	Mostly True	I have factories coming back into the country.	Weve lost 70,000 factories since China joined the World Trade Organization.	discuss	unknown	
ai	69	3518	on Friday, March 24th, 2017	http://politifact.com/truth-o-meter/statements/2017/mar/24/donald-trump/trump-china-joined-wto-us-has-lost-60000-factories/	Mostly True	I have factories coming back into the country.	Since China joined thats another beauty the WTO in 2001, the U.S. has lost many more than 60,000 factories.	discuss	unknown	
ai	69	390	on Friday, July 26th, 2019	http://politifact.com/truth-o-meter/statements/2019/jul/26/elizabeth-warren/elizabeth-warren-says-manufacturing-recession-sign/	Half-True	I have factories coming back into the country.	The country is now in a manufacturing recession.	disagree	unknown	
ni	85	3661	on Thursday, February 16th, 2017	http://politifact.com/truth-o-meter/statements/2017/feb/16/donald-trump/trump-hints-stock-market-record-high-linked-presid/	Mostly True	The stock market is in 22,000.	The stock market has hit record numbers, as you know. And there has been a tremendous surge of optimism in the business world.	agree	TRUE	
ai	85	6112	on Tuesday, August 4th, 2015	http://politifact.com/truth-o-meter/statements/2015/aug/04/hillary-clinton/hillary-clinton-says-stock-market-has-done-better-/	Mostly True	The stock market is in 22,000.	The stock market does better when you have a Democratic president in the White House.	discuss	unknown	
ai	85	2806	on Thursday, October 12th, 2017	http://politifact.com/truth-o-meter/statements/2017/oct/12/donald-trump/donald-trumps-misleading-linkage-between-stock-gai/	FALSE	The stock market is in 22,000.	The Obama administration "borrowed more than $10 trillion, right? And yet, we picked up $5.2 trillion just in the stock market. ... Maybe in a sense were reducing debt."	unrelated	unknown	
ai	85	6615	on Tuesday, March 17th, 2015	http://politifact.com/truth-o-meter/statements/2015/mar/17/jim-webb/james-webb-says-stock-market-has-tripled-value-200/	Mostly True	The stock market is in 22,000.	The stock market has almost tripled since April of 2009.	discuss	unknown	context; date
ai	85	497	on Tuesday, June 25th, 2019	http://politifact.com/punditfact/statements/2019/jun/25/charles-payne/fox-business-host-wrongly-claimed-market-crashed-i/	Mostly False	The stock market is in 22,000.	When President Obama was elected, the market crashed  Trump was up 9%, President Obama was down 14.8% and President Bush was down almost 4%. There is an instant reaction on Wall Street.	discuss	unknown	
ai	85	3661	on Thursday, February 16th, 2017	http://politifact.com/truth-o-meter/statements/2017/feb/16/donald-trump/trump-hints-stock-market-record-high-linked-presid/	Mostly True	The stock market is in 22,000.	The stock market has hit record numbers, as you know. And there has been a tremendous surge of optimism in the business world.	repeated	repeated	
ai	85	1599	on Tuesday, September 18th, 2018	http://politifact.com/california/statements/2018/sep/18/ro-khanna/what-percentage-americans-own-stocks/	Half-True	The stock market is in 22,000.	Most Americans dont own stocks.	unrelated	unknown	
ai	85	897	on Wednesday, March 13th, 2019	http://politifact.com/punditfact/statements/2019/mar/13/matthew-dowd/did-obamas-final-years-beat-trump-jobs-stock-value/	Half-True	The stock market is in 22,000.	Job growth and stock growth for the first two years of Trump are down from where they were (during the) last two years of Obama.	unrelated	unknown	
ai	98	2348	on Monday, March 5th, 2018	http://politifact.com/punditfact/statements/2018/mar/05/blog-posting/no-trump-didnt-fire-jared-kushner-and-ivanka/	Pants on Fire!	Eric Trump has been in the back of the woods changing a tire, I've talked with Donald Junior, and Ivanka and Jared,  even though Jared is our great son-in-law, are so good at being in charge.	Kushner And Wife Ivanka Trump Were Tossed Out Of The White House  And Donald Is Cutting Them Out Of His Will!	unrelated	unknown	
ai	98	43	on Friday, October 18th, 2019	http://politifact.com/truth-o-meter/statements/2019/oct/18/eric-trump/eric-trumps-false-claim-trump-family-got-out-all-i/	Pants on Fire!	Eric Trump has been in the back of the woods changing a tire, I've talked with Donald Junior, and Ivanka and Jared,  even though Jared is our great soninlaw, are so good at being in charge.	When my father became commander in chief of this country, we got out of all international business.	unrelated	unknown	
ai	98	273	on Wednesday, August 14th, 2019	http://politifact.com/facebook-fact-checks/statements/2019/aug/14/viral-image/no-daughter-trump-appointee-didnt-pose-el-paso/	Pants on Fire!	Eric Trump has been in the back of the woods changing a tire, I've talked with Donald Junior, and Ivanka and Jared,  even though Jared is our great soninlaw, are so good at being in charge.	The daughter of a Donald Trump appointee posed as an El Paso shooting victim in a photo with the president.	unrelated	unknown	
ai	98	3109	on Friday, July 14th, 2017	http://politifact.com/punditfact/statements/2017/jul/14/corey-lewandowski/lewandowski-wrongly-says-trump-florida-day-trump-t/	FALSE	Eric Trump has been in the back of the woods changing a tire, I've talked with Donald Junior, and Ivanka and Jared,  even though Jared is our great soninlaw, are so good at being in charge.	Says "Donald Trump was doing a rally in the state of Florida" the day Trump's son and others met with a Russian lawyer in New York.	unrelated	unknown	
ai	98	1982	on Thursday, June 7th, 2018	http://politifact.com/truth-o-meter/statements/2018/jun/07/president-trumps-lawyers/was-initial-trump-statement-ny-times-accurate-lawy/	Mostly False	Eric Trump has been in the back of the woods changing a tire, I've talked with Donald Junior, and Ivanka and Jared,  even though Jared is our great soninlaw, are so good at being in charge.	SayPresident Donald Trump "dictated a short but accurate response to the New York Times article" about the Trump Tower meeting with Russians.	unrelated	unknown	
ai	98	2919	on Monday, September 11th, 2017	http://politifact.com/florida/statements/2017/sep/11/blog-posting/no-jared-kushner-not-missing-after-hurricane-irma-/	Pants on Fire!	Eric Trump has been in the back of the woods changing a tire, I've talked with Donald Junior, and Ivanka and Jared,  even though Jared is our great soninlaw, are so good at being in charge.	MarALago (was) destroyed by (Hurricane) Irma (and) Jared Kushner (is) still missing.	unrelated	unknown	
ai	115	2076	on Tuesday, May 15th, 2018	http://politifact.com/truth-o-meter/statements/2018/may/15/patrick-morrisey/patrick-morrisey-says-joe-manchin-wont-budge-obama/	Half-True	And we have another friend with us tonight who voted for us on health care and honestly, how the Republicans and the Democrats let us down on that is hard to believe.	SaysJoe Manchin displayed an "unwillingness to change the failed Obamacare."	unrelated	unknown	
ai	115	1360	on Tuesday, October 30th, 2018	http://politifact.com/north-carolina/statements/2018/oct/30/linda-coleman/linda-colemans-comments-seniors-and-health-care-ex/	Mostly False	And we have another friend with us tonight who voted for us on health care and honestly, how the Republicans and the Democrats let us down on that is hard to believe.	Seniors can be charged five times what anybody else is charged for health care for preexisting conditions under the Republican health care bill.	unrelated	unknown	
ai	115	15559	on Monday, September 28th, 2009	http://politifact.com/truth-o-meter/statements/2009/sep/28/steny-hoyer/hoyer-claims-republicans-have-no-health-care-alter/	Half-True	And we have another friend with us tonight who voted for us on health care and honestly, how the Republicans and the Democrats let us down on that is hard to believe.	House Republicans pledged to introduce a bill to reform Americas health care system, but "the 'party of no' has . . . failed to produce legislation."	unrelated	unknown	date
ai	123	44	on Friday, October 18th, 2019	http://politifact.com/wisconsin/statements/2019/oct/18/democratic-national-committee/dnc-trump-manufacturing-jobs/	Mostly False	We talked about how we are working together to open up the coal mines in this state and also very importantly to create jobs in furniture manufacturing, and other forms of manufacturing very important to Jim.	Says Donald Trump is breaking a campaign pledge to bring manufacturing jobs back to Wisconsin and Pennsylvania since the two states "have lost the most manufacturing jobs in the past year."	unrelated	unknown	
ai	123	13266	on Tuesday, April 12th, 2011	http://politifact.com/virginia/statements/2011/apr/12/robert-hurt/robert-hurt-says-cap-and-trade-would-cost-50000-vi/	Mostly False	We talked about how we are working together to open up the coal mines in this state and also very importantly to create jobs in furniture manufacturing, and other forms of manufacturing very important to Jim.	A capandtrade bill would "destroy over 50,000 jobs in Virginia."	discuss	unknown	
ai	123	7136	on Thursday, October 16th, 2014	http://politifact.com/wisconsin/statements/2014/oct/16/americans-prosperity/americans-prosperty-says-workers-are-getting-high-/	Mostly False	We talked about how we are working together to open up the coal mines in this state and also very importantly to create jobs in furniture manufacturing, and other forms of manufacturing very important to Jim.	Under the administration of Gov. Scott Walker, northern Wisconsins mining economy is moving forward and more people are getting good, highpaying jobs.	unrelated	unknown	
ni	136	4634	on Thursday, July 21st, 2016	http://politifact.com/truth-o-meter/statements/2016/jul/22/donald-trump/trump-gives-half-story-trade-deals-clintons-and-fa/	Half-True	The failed voices in Washington who oppose our movement are the exact same people who gave us one terrible trade deal after another.	America has lost nearlyone third of its manufacturing jobs since 1997, following the enactment of disastrous trade deals supported by Bill and Hillary Clinton.	agree	TRUE	
ai	136	4515	on Sunday, August 7th, 2016	http://politifact.com/truth-o-meter/statements/2016/aug/07/tim-kaine/tim-kaine-says-he-hasnt-changed-his-position-trans/	Half-True	The failed voices in Washington who oppose our movement are the exact same people who gave us one terrible trade deal after another.	I haven't switched my position on the TransPacific Partnership trade deal.	discuss	unknown	
ai	136	4484	on Friday, August 12th, 2016	http://politifact.com/truth-o-meter/statements/2016/aug/12/hillary-clinton/economic-speech-hillary-clinton-offers-cherry-pick/	Half-True	The failed voices in Washington who oppose our movement are the exact same people who gave us one terrible trade deal after another.	I opposed the only multilateral trade deal that came before the Senate while I was there.	unrelated	unknown	
