line_number	vclaim_id	sentence	vclaim	comment-1	comment-2	comment-3	stance-1	stance-2	stance-3	stance	verdict-1	verdict-2	verdict-3	verdict
166	3771	We have now the lowest number of ships we have had since World War I.	Our Navy has shrunk from more than 500 ships in 1991 to 275 in 2016.	since WWI			discuss	discuss	agree	discuss	unknown	unknown	unknown	unknown
167	1810	And very soon, we are going to get to 355 beautiful ships.	President Trump proposed the increase to $700 billion to our military budget, which included the 355ship Navy, which included a military pay increase, a modest one, which included, a yet even more modest housing allowance, but yet (Sen. Tim Kaine) even voted against giving more money to our men and women who are in the military service and against our housing allowance.				agree	agree	agree	agree	unknown	unknown	unknown	unknown
167	11769	And very soon, we are going to get to 355 beautiful ships.	The U.S. military is at risk of losing its "military superiority" because "our Navy is smaller than it's been since 1917. Our Air Force is smaller and older than any time since 1947."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
167	10092	And very soon, we are going to get to 355 beautiful ships.	Says Mitt Romney wants to add $2 trillion to defense budget that the military hasnt asked for.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
174	2085	You are going to have new equipment, and welldeserved pay raises.	Says the 2018 defense authorization bill includes raises for the military "for the first time in 10 years."	10 years?			agree	agree	agree	agree	unknown	unknown	unknown	unknown
174	7171	You are going to have new equipment, and welldeserved pay raises.	Milwaukee police and firefighters "are routinely getting 4 percent raises annually while everybody else is either getting zero or one percent raises."				agree	unrelated	unrelated	unrelated	FALSE	unknown	unknown	unknown
174	7555	You are going to have new equipment, and welldeserved pay raises.	Last year, I was involved with an effort to to help prosecutors get their first pay raise in more than 10 years.	10 years?			agree	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
175	1167	We just got to a big pay raise for the first time in 10 years.	Says troops recently received "one of the biggest pay raises" ever, and that it was the first pay increase in "more than 10 years."				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
175	2085	We just got to a big pay raise for the first time in 10 years.	Says the 2018 defense authorization bill includes raises for the military "for the first time in 10 years."				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
175	1195	We just got to a big pay raise for the first time in 10 years.	The National Defense Authorization Act for fiscal year 2019 "includes the largest pay raise in nearly 10 years."		talking about 2019	Date?	agree	discuss	discuss	discuss	FALSE	unknown	unknown	unknown
176	1167	We got to a big pay increase, first time in over 10 years.	Says troops recently received "one of the biggest pay raises" ever, and that it was the first pay increase in "more than 10 years."	repeated claim in input			agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
182	4457	And this week, we passed new landmark legislation to give more choice and better care to our great veterans.	Says "Marco Rubio wrote and passed bipartisan legislation allowing the VA to fire negligent workers."				unrelated	unrelated	agree	unrelated	unknown	unknown	TRUE	unknown
182	1536	And this week, we passed new landmark legislation to give more choice and better care to our great veterans.	Says Republicans"just passed" the Veterans Choice program after 44 years of trying. "They've been trying to pass that one for many, many decades."				discuss	agree	agree	agree	unknown	unknown	unknown	unknown
182	4614	And this week, we passed new landmark legislation to give more choice and better care to our great veterans.	Says "Donald Trump is a guy who has called for privatization" of the Veterans Administration.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
182	4360	And this week, we passed new landmark legislation to give more choice and better care to our great veterans.	Says Donald Trump supports "an agenda out there" to privatize the Veterans Affairshealth care system.				unrelated	unrelated	discuss	unrelated	unknown	unknown	agree	unknown
185	1536	We are taking care, finally, after decades, we are taking care of our veterans.	Says Republicans"just passed" the Veterans Choice program after 44 years of trying. "They've been trying to pass that one for many, many decades."				discuss	discuss	discuss	discuss	unknown	unknown	unknown	unknown
186	4457	We passed VA accountability.	Says "Marco Rubio wrote and passed bipartisan legislation allowing the VA to fire negligent workers."				unrelated	unrelated	agree	unrelated	unknown	unknown	TRUE	unknown
186	1536	We passed VA accountability.	Says Republicans"just passed" the Veterans Choice program after 44 years of trying. "They've been trying to pass that one for many, many decades."				agree	agree	agree	agree	unknown	unknown	unknown	unknown
186	6704	We passed VA accountability.	Nine hundred people have been fired since I became secretary (of Veterans Affairs). Weve got 60 people that we fired who have manipulated wait times.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
186	419	We passed VA accountability.	At the same time President Trump talks about supporting veterans, "he is deporting service members who have volunteered to serve this country."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
191	3771	We are reestablishing the second fleet in the Atlantic bigger, better, stronger than it has ever been before.	Our Navy has shrunk from more than 500 ships in 1991 to 275 in 2016.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
191	6207	We are reestablishing the second fleet in the Atlantic bigger, better, stronger than it has ever been before.	Says President Obama "is reducing our naval fleet to 1917 levels..."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
192	2324	We are rebuilding our defense industrial base to forge American iron, aluminum, and steel, which, by the way, we just put tariffs on when it comes in from other countries.	American aluminum and steel "are vital to our national security. ... They are the bedrock of our defense industrial base."				agree	agree	agree	agree	unknown	unknown	unknown	unknown
192	1417	We are rebuilding our defense industrial base to forge American iron, aluminum, and steel, which, by the way, we just put tariffs on when it comes in from other countries.	All across Ohio, steel mills are reopening.				discuss	discuss	agree	discuss	unknown	unknown	TRUE	unknown
192	2351	We are rebuilding our defense industrial base to forge American iron, aluminum, and steel, which, by the way, we just put tariffs on when it comes in from other countries.	Electrolux, Sweden's largest appliance maker, has just abandoned a $250 million investment in the United States because of the steel tariffs. That is retaliation.				discuss	agree	discuss	discuss	unknown	unknown	unknown	unknown
192	2318	We are rebuilding our defense industrial base to forge American iron, aluminum, and steel, which, by the way, we just put tariffs on when it comes in from other countries.	Says the U.S. steel and aluminum industry is "a fraction of what it once was."				discuss	agree	discuss	discuss	unknown	unknown	unknown	unknown
195	640	They pay that big, beautiful tariff and it goes right into building new ships.	Tariffs are "paid for mostly by China, by the way, not by us."				discuss	discuss	agree	discuss	unknown	unknown	unknown	unknown
196	6108	We have been taken advantage of by the world.	This is the most generous country in the world when it comes to immigration. There are a million people a year who legally immigrate to the United States.				agree	discuss	discuss	discuss	unknown	unknown	unknown	unknown
