line_number	vclaim_id	sentence	vclaim	comment-1	comment-2	comment-3	stance-1	stance-2	stance-3	stance	verdict-1	verdict-2	verdict-3	verdict
72	640	We're just announcing very big tariffs today on China because China has been  look he's my friend, President Xi.	Tariffs are "paid for mostly by China, by the way, not by us."				unrelated	discuss	unrelated	unrelated	unknown	unknown	unknown	unknown
72	6998	We're just announcing very big tariffs today on China because China has been  look he's my friend, President Xi.	China has made enormous progress in its human rights. That is a fact recognized by all the people in the world.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
72	2333	We're just announcing very big tariffs today on China because China has been  look he's my friend, President Xi.	China, my understanding is, supplies 4 percent of the steel in the U.S.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
72	5525	We're just announcing very big tariffs today on China because China has been  look he's my friend, President Xi.	China has "total control, just about, of North Korea."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
72	13208	We're just announcing very big tariffs today on China because China has been  look he's my friend, President Xi.	China holds 26 percent of the U.S. debt.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
72	251	We're just announcing very big tariffs today on China because China has been  look he's my friend, President Xi.	U.S. tariffs on China are "not hurting anybody" in the United States.				unrelated	discuss	agree	unrelated	unknown	unknown	unknown	unknown
76	2257	We lost $500 billion in trade deficits last year.	Last year we lost $500 billion on trade with China.				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
76	689	We lost $500 billion in trade deficits last year.	We have been losing to China for many years, $500 billion a year. Mostly False http://politifact.com/wisconsin/statements/2019/apr/30/donald-trump/president-trumps-china-trade-deficit-claim-doesnt-/ on Tuesday, April 30th, 2019  76 We lost $500 billion in trade deficits last year. 5752 Were losing now over $500 billion a year in terms of imbalance with China."		vclaim format		not-claim	agree	agree	agree	not-claim	FALSE	FALSE	FALSE
76	4630	We lost $500 billion in trade deficits last year.	Our trade deficit in goods reached nearly  $800 billion last year alone.				agree	unrelated	agree	agree	unknown	unknown	unknown	unknown
78	2210	Is the new tariff something like 25 percent on...	When a car is sent to the United States from China, there is a Tariff to be paid of 2 12%. When a car is sent to China from the United States, there is a Tariff to be paid of 25%.				agree	agree	unrelated	agree	TRUE	unknown	unknown	unknown
78	640	Is the new tariff something like 25 percent on...	Tariffs are "paid for mostly by China, by the way, not by us."				unrelated	discuss	unrelated	unrelated	unknown	unknown	unknown	unknown
85	14386	You just beat the Wall Street Journal by a lot.	There's a big chunk of the country that thinks that I have been too soft on Wall Street.				not-claim	not-claim	unrelated	not-claim	not-claim	not-claim	unknown	not-claim
85	855	You just beat the Wall Street Journal by a lot.	Shows a photo of two similar Wall Street Journal newspapers with different headlines about President Donald Trump, and describes the editions as, "Same paper, same dates, different markets. What did you just learn? Feeling manipulated yet?"				not-claim	not-claim	unrelated	not-claim	not-claim	not-claim	unknown	not-claim
85	7276	You just beat the Wall Street Journal by a lot.	In 2012, "Wall Street" gave Scott Brown "more campaign contributions than any other candidate  $5.3 million."				not-claim	not-claim	unrelated	not-claim	not-claim	not-claim	unknown	not-claim
85	7372	You just beat the Wall Street Journal by a lot.	On tax inversions, the Wall Street Journal"surprisingly attacked this tax scheme."				not-claim	not-claim	unrelated	not-claim	not-claim	not-claim	unknown	not-claim
86	14716	Well, we're just going to do $50 billion on $50 billion of hightechnology equipment and other things coming into the country, because so much of our secrets  you know, we have the great brain power in Silicon Valley, and China and others steal those secrets.	I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together  forget the United States.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
86	532	Well, we're just going to do $50 billion on $50 billion of hightechnology equipment and other things coming into the country, because so much of our secrets  you know, we have the great brain power in Silicon Valley, and China and others steal those secrets.	In the ObamaBiden administration, we got China to cut cybertheft  it's gotten significantly worse under this administration.				unrelated	discuss	unrelated	unrelated	unknown	unknown	unknown	unknown
86	4956	Well, we're just going to do $50 billion on $50 billion of hightechnology equipment and other things coming into the country, because so much of our secrets  you know, we have the great brain power in Silicon Valley, and China and others steal those secrets.	The Chinese last year probably stole $360 billion inintellectual property from the United States.				agree	discuss	agree	agree	unknown	unknown	unknown	unknown
94	9270	If he slaps 25 percent on $50 billion for China that's going to be bad for Americans"?	Since Gina Raimondo took office, investment fees on the state's pension portfolio "have gone up from about $12 million annually to about $50 million."				unrelated	not-claim	unrelated	unrelated	unknown	not-claim	unknown	unknown
95	3518	No, the trade war was started many years ago by them and the United States lost.	Since China joined thats another beauty the WTO in 2001, the U.S. has lost many more than 60,000 factories.				agree	discuss	agree	agree	unknown	unknown	TRUE	unknown
95	12231	No, the trade war was started many years ago by them and the United States lost.	We buy 35 percent of all Chinese exports.				discuss	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
95	689	No, the trade war was started many years ago by them and the United States lost.	We have been losing to China for many years, $500 billion a year. Mostly False http://politifact.com/wisconsin/statements/2019/apr/30/donald-trump/president-trumps-china-trade-deficit-claim-doesnt-/ on Tuesday, April 30th, 2019  95 No, the trade war was started many years ago by them and the United States lost. 3518 Since China joined thats another beauty the WTO in 2001, the U.S. has lost many more than 60,000 factories."				unrelated	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
95	3409	No, the trade war was started many years ago by them and the United States lost.	Weve lost 70,000 factories since China joined the World Trade Organization.				agree	discuss	agree	agree	TRUE	unknown	TRUE	TRUE
99	4866	There is no trade war.	A trade war is something very different (than curbing new trade agreements). We went down that road in the 1930s. It made the Great Depression longer and more painful.				unrelated	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
99	8120	There is no trade war.	The American slave trade caused 5 million deaths "or more."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
99	12231	There is no trade war.	We buy 35 percent of all Chinese exports.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
99	251	There is no trade war.	U.S. tariffs on China are "not hurting anybody" in the United States.				discuss	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
101	4630	So last year $375 billion in trade deficit.	Our trade deficit in goods reached nearly  $800 billion last year alone.		date		discuss	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
101	13974	So last year $375 billion in trade deficit.	More than 10 years of free trade "has brought a $2 billion per day trade deficit."				unrelated	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
101	2175	So last year $375 billion in trade deficit.	The United States has a massive trade deficit with Japan. It's anywhere from $69 billion to a $100 billion a year.				unrelated	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
103	4630	We had overall over $800 billion over a period of years  each year close to $800 billion in losses on trade.	Our trade deficit in goods reached nearly  $800 billion last year alone.				agree	agree	agree	agree	TRUE	TRUE	TRUE	TRUE
103	12925	We had overall over $800 billion over a period of years  each year close to $800 billion in losses on trade.	If today's economy was rebounding at the rate of the "Reagan recovery," it would have created the equivalent of 25 million new jobs and raised federal revenue by $800 billion a year.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
103	13831	We had overall over $800 billion over a period of years  each year close to $800 billion in losses on trade.	The taxcut deal "adds more than $800 billion to the deficit over two years  more than the cost of TARP and more than the cost of the Recovery Act" and about the same as health care reform.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
117	5193	The European Union made $151 billion on us last year.	Its actually easier for the United States to get flight manifests from E.U. nations than it is for E.U. nations to get them from their own neighbors, thanks to an agreement the U.S. negotiated when I was secretary of state.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
117	130	The European Union made $151 billion on us last year.	Europe and other nations (need to) contribute to Ukraine. Because theyre not doing it. Just the United States. Were putting up the bulk of the money.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
117	2799	The European Union made $151 billion on us last year.	The president early on called on NATO member countries to step up their contributions ... and as a result of that countries have stepped up contributions toward their own defense.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
119	13323	You look at Japan, you look at South Korea, you look at so many  and we help these countries militarily on top of everything else.	South Korea doesn't pay the United States for U.S. troops that protect their country.				agree	discuss	agree	agree	FALSE	unknown	unknown	unknown
131	1968	Well, they charge us almost 300 percent on dairy products.	Canada charges the U.S. a 270% tariff on Dairy Products! They didnt tell you that, did they? Not fair to our farmers!		percent precision		agree	agree	agree	agree	TRUE	unknwon	TRUE	TRUE
131	3749	Well, they charge us almost 300 percent on dairy products.	Imitation dairy products often differ nutritionally from those they mimic, and labeling them "milk" or "cheese" or "yogurt" is "against the law."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
147	2239	Very  very strong on immigration...	Mexico has "very strong border laws  ours are pathetic."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
147	1942	Very  very strong on immigration...	You cant (end the separation of families at the border) through an executive order.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
147	3559	Very  very strong on immigration...	In the first full month of my administration following the issuance of my executive orders, illegal immigration on our southern border fell by an unprecedented 40 percent.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
147	4371	Very  very strong on immigration...	Donald Trumps been completely consistent about his plan for nonviolent undocumented immigrants.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
153	3414	But the Democrats, by the way, are very weak on immigration.	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!				agree	agree	agree	agree	unknown	unknown	unknown	unknown
153	6195	But the Democrats, by the way, are very weak on immigration.	Says Florida had five sanctuary cities while Jeb Bush was governor.				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
154	506	If you notice when I came over, they were all saying about separating the families and that's a Democrat bill.	When I became president, President Obama had a separation policy. I didnt have it. He had it.				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
154	1952	If you notice when I came over, they were all saying about separating the families and that's a Democrat bill.	The Trump administrations policy of separating families is "the same way Barack Obama did it."				agree	discuss	agree	agree	FALSE	unknown	FALSE	FALSE
154	2021	If you notice when I came over, they were all saying about separating the families and that's a Democrat bill.	A "horrible law" requires that children be separated from their parents "once they cross the Border into the U.S."				agree	unrelated	discuss	unrelated	FALSE	unknown	unknown	unknown
154	1942	If you notice when I came over, they were all saying about separating the families and that's a Democrat bill.	You cant (end the separation of families at the border) through an executive order.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
154	1234	If you notice when I came over, they were all saying about separating the families and that's a Democrat bill.	Says of immigrant family separations at the border, "we had the exact same policy as the Obama administration."				agree	discuss	agree	agree	FALSE	unknown	FALSE	FALSE
180	2082	We have to get rid of catchandrelease.	A "catch and release" immigration policy"is a Democrat rule, Sherrod Brown, this is a Democrat rule."				not-claim	not-claim	unrelated	not-claim	not-claim	not-claim	unknown	not-claim
180	11930	We have to get rid of catchandrelease.	Says the Obama administration catches and releases nonviolent illegal immigrants.				not-claim	not-claim	not-claim	not-claim	not-claim	not-claim	not-claim	not-claim
186	11930	We catch a criminal, a real criminal, a rough tough criminal, we take his name and then we release him.	Says the Obama administration catches and releases nonviolent illegal immigrants.				disagree	discuss	not-claim	discuss	unknown	unknown	not-claim	unknown
186	4915	We catch a criminal, a real criminal, a rough tough criminal, we take his name and then we release him.	It "is Hillary Clinton's agenda" to "release the violent criminals from jail. She wants them all released."				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
186	1398	We catch a criminal, a real criminal, a rough tough criminal, we take his name and then we release him.	Says Beto ORourke "voted to shield MS13 gang members from deportation."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
202	2577	Well, when a country gives names, they're not giving us their finest.	Says of the diversity visa lottery program, "they give us their worst people, they put them in a bin," and "the worst of the worst" are selected.				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
202	4328	Well, when a country gives names, they're not giving us their finest.	If Congress fails to act, the Obama administration intends to give away control of the internet to an international body akin to the United Nations.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
207	3150	ICE  we're getting MS13 out by the thousands.	We're pretty much at the 50 percent mark on deportations of MS13 gang members.				discuss	agree	agree	agree	unknown	unknown	unknown	unknown
207	3414	ICE  we're getting MS13 out by the thousands.	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!				discuss	agree	agree	agree	unknown	unknown	unknown	unknown
207	2428	ICE  we're getting MS13 out by the thousands.	Many gang members have taken advantage of "glaring loopholes and our laws to enter the country as illegal, unaccompanied, alien minors."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
207	2073	ICE  we're getting MS13 out by the thousands.	Says of MS13 gang members, "We are getting them out of our country by the thousands."				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
207	1885	ICE  we're getting MS13 out by the thousands.	I have watched ICE liberate towns from the grasp of MS13.				agree	agree	agree	agree	FALSE	unknown	unknown	unknown
207	1351	ICE  we're getting MS13 out by the thousands.	Says "Bob Casey voted in favor of deadly sanctuary cities that released thousands upon thousands of illegal alien criminals and vicious gang members to prey on Pennsylvaniastreets, to prey all over this country."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
209	3150	You know, it's almost like we're liberating towns.	We're pretty much at the 50 percent mark on deportations of MS13 gang members.				disagree	discuss	agree	discuss	unknown	unknown	unknown	unknown
209	1885	You know, it's almost like we're liberating towns.	I have watched ICE liberate towns from the grasp of MS13.				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
220	3172	There are  I call them 13 angry Democrats, and others worked for Obama for eight years.	I can say that the people that have been hired (for the independentRussia investigation)are all Hillary Clinton supporters, some of them worked for Hillary Clinton.				unrelated	agree	agree	agree	unknown	unknown	FALSE	unknown
270	2165	Just  I have a fantastic relationship now with North Korea.	SaysNorth Korea has "agreed to denuclearization."				discuss	not-claim	discuss	discuss	unknown	not-claim	unknown	unknown
271	3391	You know, there were missiles being thrown about.	The pace of missile development between (Kim Jong Il and Kim Jong Un) has increased the testing about twentyfold.				disagree	unrelated	agree	agree	TRUE	unknown	unknown	unknown
279	889	There was no collusion.	Says Paul Manaforts sentencing judge, Amy Berman Jackson, "conceded that there was absolutely no evidence of any Russian collusion in this case. So that makes two courts. Two courts have ruled no evidence of any collusion with any Russians."				agree	agree	agree	agree	FALSE	FALSE	unknown	FALSE
279	2557	There was no collusion.	Said Dianne Feinstein said "there is no collusion" between the Trump campaign and Russia.				agree	agree	agree	agree	FALSE	FALSE	unknown	FALSE
279	3312	There was no collusion.	Says James Clapper "and virtually everyone else" said "there is no collusion" in the Russia investigation findings.				agree	agree	agree	agree	FALSE	FALSE	unknown	FALSE
279	2168	There was no collusion.	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION				agree	agree	agree	agree	FALSE	FALSE	unknown	FALSE
280	2168	There was no obstruction.	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION				agree	agree	agree	agree	FALSE	FALSE	unknown	FALSE
314	98	What he did was so bad in terms of our Constitution, in terms of the wellbeing of our country.	If the impeachment reaches the house and passes to the senate and isnt passed the first term is nullified and Trump can run two more terms.				not-claim	not-claim	unrelated	not-claim	not-claim	not-claim	unknown	not-claim
325	3223	Oh, James Comey's using one, too.	Says former FBI Director James Comey admitted to leaking classified information.				discuss	discuss	unrelated	discuss	unknown	unknown	unknown	unknown
325	4023	Oh, James Comey's using one, too.	There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation "so close to an election."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
330	1821	Well, if you look at what happened  and don't forget all of these people like Strzok, what he did was criminal, Strzok and so many others.	Says FBI agent Peter Strzoks hearing confirmed Republican Congressman Jim Jordans theory about how the Justice Department got the Steele dossier.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
330	1179	Well, if you look at what happened  and don't forget all of these people like Strzok, what he did was criminal, Strzok and so many others.	Says 19,000 text messages exchanged between former FBI officials that were "purposely and illegally deleted ... would have explained (the special counsel investigation) hoax."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
372	2165	They just blew up their test site.	SaysNorth Korea has "agreed to denuclearization."				agree	unrelated	unrelated	unrelated	FALSE	unknown	unknown	unknown
373	3666	They're blowing up their engine test site for ballistic missiles.	In the "past few weeks," President Donald Trump pointed out "Iranian violations on ballistic missile tests. By the way, these ballistic missiles are inscribed in Hebrew, Israel must be destroyed. "				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
373	8097	They're blowing up their engine test site for ballistic missiles.	The United States stopped plans to build a missile defense shield in Eastern Europe "as a gift to Russia."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
373	2165	They're blowing up their engine test site for ballistic missiles.	SaysNorth Korea has "agreed to denuclearization."				agree	unrelated	unrelated	unrelated	FALSE	unknown	unknown	unknown
373	14073	They're blowing up their engine test site for ballistic missiles.	Says John Raese said he wants "1,000 laser systems put in the sky, and we need it right now."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
373	3391	They're blowing up their engine test site for ballistic missiles.	The pace of missile development between (Kim Jong Il and Kim Jong Un) has increased the testing about twentyfold.				disagree	unrelated	unrelated	unrelated	FALSE	unknown	unknown	unknown
373	6184	They're blowing up their engine test site for ballistic missiles.	Obama keeps talking about getting rid of all nuclear weapons. Hes already significantly reduced our capabilities there.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
399	1815	It's in the agreement It says he will denuclearize.	Says Deputy Attorney General Rod Rosenstein announced in February that "the Russia collusion investigation is over."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
399	5382	It's in the agreement It says he will denuclearize.	Says Missouri families "earning power is about $5,000 less today than it was at the turn of the century."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
423	2137	I didn't pay $1.8 billion.	The nuclear deal gave Iran "$150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes."				disagree	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
427	16459	He gave us back our hostages.	Iranian mullahs took American hostages and they held the American hostages for 444 days. ...The one hour in which they released them was the one hour in which Ronald Reagan was taking the Oath of Office				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
427	4149	He gave us back our hostages.	Says Deborah Ross "supports the Iran nuclear deal and the ransom it paid for hostages."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
442	2165	We're getting along great with South Korea.	SaysNorth Korea has "agreed to denuclearization."				agree	unrelated	agree	agree	unknown	unknown	unknown	unknown
442	4155	We're getting along great with South Korea.	Donald Trump has said "nuclear proliferation is OK."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
442	1987	We're getting along great with South Korea.	North Korea's history of international negotiations shows "they'll take the concessions, they'll keep them in their pocket and then they won't deliver."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
442	13323	We're getting along great with South Korea.	South Korea doesn't pay the United States for U.S. troops that protect their country.				discuss	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
443	13196	We're getting along great with China.	Each day our nation pays communist China $73.9 million in interest on our debt.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
443	4596	We're getting along great with China.	As secretary of state, (Hillary Clinton) worked hard to get strong sanctions against Iran's nuclear program and "got Russia and China to support them."				unrelated	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
443	689	We're getting along great with China.	We have been losing to China for many years, $500 billion a year. Mostly False http://politifact.com/wisconsin/statements/2019/apr/30/donald-trump/president-trumps-china-trade-deficit-claim-doesnt-/ on Tuesday, April 30th, 2019  443 We're getting along great with China. 373 U.S. farmers are receiving $16 billion out of the tariffs that weve gotten from China."		format		unrelated	unrelated	disagree	unrelated	unknown	unknown	unknown	unknown
444	5021	Probably until this morning, because we just did a tariff in China.	Says Donald Trumps "only economic agenda is imposing massive taxes on the American people with a 40 percent tax hike of a giant tariff."				unrelated	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
444	10276	Probably until this morning, because we just did a tariff in China.	Chinese tire imports threatened 1,000 American jobs, so President Obama "stood up to China and protected American workers. Mitt Romney attacked Obama's decision."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
444	2210	Probably until this morning, because we just did a tariff in China.	When a car is sent to the United States from China, there is a Tariff to be paid of 2 12%. When a car is sent to China from the United States, there is a Tariff to be paid of 25%.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
444	2333	Probably until this morning, because we just did a tariff in China.	China, my understanding is, supplies 4 percent of the steel in the U.S.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
444	147	Probably until this morning, because we just did a tariff in China.	Ivanka Trumps shoe line is made in China but is exempt from tariffs.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
444	5187	Probably until this morning, because we just did a tariff in China.	Theres a tremendous tax that we pay when we (American businesses) go into China, whereas when China sells to us theres no tax.				discuss	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
507	2311	When I was talking to President Obama, he essentially was ready to go to war with North Korea.	SaySean Hannity said in 2008 that Obamas willingness to meet with North Korea was "disturbing"while Trumps "willingness to meet with North Korea is a huge foreign policy win."				unrelated	discuss	unrelated	unrelated	unknown	unknown	unknown	unknown
648	15199	Don't forget, then I got elected, I took this thing over, it was 1.2 and each point is $3 trillion and 10 million jobs.	The Congressional Budget Office analysis of the health insurance reform legislation says the bill "cuts the deficit by $1.2 trillion in the second 10 years."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
651	7506	You probably saw this morning I put out, they would have raised your taxes instead of cut your taxes, and they were going to put on more regulations.	Says Rick Scott "raised property taxes."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
651	13227	You probably saw this morning I put out, they would have raised your taxes instead of cut your taxes, and they were going to put on more regulations.	Every time we've cut taxes, revenues have gone up, the economy has grown.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
651	10420	You probably saw this morning I put out, they would have raised your taxes instead of cut your taxes, and they were going to put on more regulations.	I've cut taxes for ... middleclass families, small businesses.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
651	4993	You probably saw this morning I put out, they would have raised your taxes instead of cut your taxes, and they were going to put on more regulations.	We're the highest taxed nation in the world.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
