43	Says former FBI Director James Comey admitted to leaking classified information.	3223	Says former FBI Director James Comey admitted to leaking classified information.
186	Says the Obama administration catches and releases nonviolent illegal immigrants.	11930	Says the Obama administration catches and releases nonviolent illegal immigrants.
202	Says of the diversity visa lottery program, "they give us their worst people, they put them in a bin," and "the worst of the worst" are selected.	2577	Says of the diversity visa lottery program, "they give us their worst people, they put them in a bin," and "the worst of the worst" are selected.
207	We're pretty much at the 50 percent mark on deportations of MS13 gang members.	3150	We're pretty much at the 50 percent mark on deportations of MS13 gang members.
207	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!	3414	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!
207	Says of MS13 gang members, "We are getting them out of our country by the thousands."	2073	Says of MS13 gang members, "We are getting them out of our country by the thousands."
207	I have watched ICE liberate towns from the grasp of MS13.	1885	I have watched ICE liberate towns from the grasp of MS13.
209	We're pretty much at the 50 percent mark on deportations of MS13 gang members.	3150	We're pretty much at the 50 percent mark on deportations of MS13 gang members.
209	I have watched ICE liberate towns from the grasp of MS13.	1885	I have watched ICE liberate towns from the grasp of MS13.
220	I can say that the people that have been hired (for the independentRussia investigation)are all Hillary Clinton supporters, some of them worked for Hillary Clinton.	3172	I can say that the people that have been hired (for the independentRussia investigation)are all Hillary Clinton supporters, some of them worked for Hillary Clinton.
270	SaysNorth Korea has "agreed to denuclearization."	2165	SaysNorth Korea has "agreed to denuclearization."
271	The pace of missile development between (Kim Jong Il and Kim Jong Un) has increased the testing about twentyfold.	3391	The pace of missile development between (Kim Jong Il and Kim Jong Un) has increased the testing about twentyfold.
279	Says Paul Manaforts sentencing judge, Amy Berman Jackson, "conceded that there was absolutely no evidence of any Russian collusion in this case. So that makes two courts. Two courts have ruled no evidence of any collusion with any Russians."	889	Says Paul Manaforts sentencing judge, Amy Berman Jackson, "conceded that there was absolutely no evidence of any Russian collusion in this case. So that makes two courts. Two courts have ruled no evidence of any collusion with any Russians."
279	Said Dianne Feinstein said "there is no collusion" between the Trump campaign and Russia.	2557	Said Dianne Feinstein said "there is no collusion" between the Trump campaign and Russia.
279	Says James Clapper "and virtually everyone else" said "there is no collusion" in the Russia investigation findings.	3312	Says James Clapper "and virtually everyone else" said "there is no collusion" in the Russia investigation findings.
279	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION	2168	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION
280	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION	2168	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION
325	Says former FBI Director James Comey admitted to leaking classified information.	3223	Says former FBI Director James Comey admitted to leaking classified information.
442	SaysNorth Korea has "agreed to denuclearization."	2165	SaysNorth Korea has "agreed to denuclearization."
663	I want clean air. I want crystal clean water. And weve got it.Weve got the cleanest country in the planet right now.	1702	I want clean air. I want crystal clean water. And weve got it.Weve got the cleanest country in the planet right now.
682	America is a nation of builders. We built the Empire State Building in just one year. Isnt it a disgrace that it can now take 10 years just to get a minor permit approved for the building of a simple road?	2468	America is a nation of builders. We built the Empire State Building in just one year. Isnt it a disgrace that it can now take 10 years just to get a minor permit approved for the building of a simple road?
706	Crimea "was sort of taken away from President Obama.  And he wanted Russia to be out of what was called the G8. And that was his determination."	222	Crimea "was sort of taken away from President Obama.  And he wanted Russia to be out of what was called the G8. And that was his determination."
747	Rare is the president "who's passed more legislation, who's done more things than what we've done, between the executive orders and the jobkilling regulations that have been terminated."	3217	Rare is the president "who's passed more legislation, who's done more things than what we've done, between the executive orders and the jobkilling regulations that have been terminated."
